text,n
"It's 'too dangerous to reopen schools as bugs like coronavirus prey on kids', experts warn https://t.co/IO2IEaVvmJ",7
"Teachers won't need PPE when schools return, says minister https://t.co/LIaXMUjqJz",7
"Tim Farron, Lib Dem Northern Powerhouse spokesman, was joined by councillors in Hull in calling for better support [for Nurseries]

We’re supporting @timfarron in making sure our nurseries are protected. 👇🏻

https://t.co/F9dPOQ1fse",7
"Schools can't all go back at once or UK risks huge second coronavirus spike, Dominic Raab warns https://t.co/LkuzBtQrUm",7
When might the lockdown in the UK come to an end? https://t.co/degBE9pHOE,7
"👏 We applaud Sir William Borlase, Holmer Green Senior,  Akeley Wood, The Beaconsfield and Sir Henry Floyd schools: donating or using their 3D printers/ laser cutters to make headbands and visors for health and social care staff. Be #ProudofBucks

https://t.co/gIxMOceE1X https://t.co/qMSuDbyKTT",7
@DrHilaryJones suggests 'pilot schemes' should be carried out in schools to monitor coronavirus before they re-open. https://t.co/KdGCJgGGXQ,7
Can children pass coronavirus to adults? https://t.co/yryN4wvCMF,7
"Private candidates: JCQ has issued guidance to schools and colleagues on validation of evidence by centres.

More info &gt; https://t.co/FnygDed3I4 and  https://t.co/TBsQ5tqWsE. https://t.co/nsU9d0Y7GS",7
"Having had the pleasure of working under ⁦@LeadingLearner⁩ , I can vouch for his work for the community. Pastoral care matters now more than ever

‘The human stuff matters': heads call for a kinder school system post Covid-19 | Schools | The Guardian https://t.co/Ygp7C6A9Gu",7
"Has the government not noticed that Denmark's coronavirus rate of infection has RISEN from 0.6 to 0.9 since schools re-opened? 🤷‍♂️

@chrisdysonHT
@Headteacherchat
@AlisonMPeacock
@MaryBoustedNEU
@cyclingkev
@PaulWhiteman6
@RealGeoffBarton
@PatrickR_NASUWT

https://t.co/iVbA0wPaY8",7
"I think the majority of the straight population would think of the coronavirus pandemic differently if they had a better understanding of the AIDS crisis. The thing is: the vast majority don't. Queers make it our duty to know this history, cos it sure ain't taught in schools!",6
"A big role of academy trusts now is to support their schools in 'being there' for parents. Trusts are identifying &amp; signposting to much needed health, economic &amp; social support across their localities, + providing reassurance. A super example @focustrust1: https://t.co/PEJnq7BRNk https://t.co/BImFwdX4iN",6
"📢 Coronavirus update – you might see us in your street

Our priority is to keep the network flowing to your homes, hospitals, businesses and schools.

If you see our #keyworkers in your street please do not approach – you can always 😀👋🏻👍🏼🤟🏻🤙🏻🖖🏻 (from a safe distance) https://t.co/6gmmAyW560",6
"“The govt has a responsibility to have a clear &amp; coherent plan for the reopening of schools, led by the scientific evidence, which does not result in a free-for-all, where individual schools make their own decisions..."" Patrick Roache, @NASUWT: https://t.co/g9mGdJBsoE",6
Germany’s new coronavirus infections hit 5-day high as lockdown return feared https://t.co/NbL2GNPICa If that's the case ours will double if Schools go back @Viruswatch2020,6
"""Rouvrir les écoles trop vite pourrait provoquer une deuxième vague"". Les britanniques se préparent à un déconfinement plus prudent  que les français. #Covid19
https://t.co/DZvlthH9B0",6
"SCHOOLS AND NATIONAL PARK RANGERS THINK INSIDE THE BOX TO FEED FAMILIES
Remote households in the wilds of Exmoor are getting vital food supplies delivered to their door during the coronavirus emergency thanks...
Full article - https://t.co/2H7msepBtG https://t.co/K2oZLqh8Po",6
"Today's latest including funding for vulnerable children and students, tips from @Young_MCR, the Duchess of Cambridge praises health visitiors and schools 'to decide' whether to open over May bank holiday https://t.co/V9RxBOPHLL",6
"Experts warn the closure of schools to most pupils could mean a widening of the attainment gap between rich and poor.

What can be done to reduce the impact of school closures? And what will happen to Generation #Covid-19?

Watch our report 👉https://t.co/S8kCGCinvA

#Newsnight https://t.co/vYAxOBoQe9",6
"Liebour's Welsh first minister confirms, they are struggling with the supply of PPE, missing testing targets &amp; losing many people in care homes

Schools reopening: First minister insists no school till June and unveils phased return https://t.co/Rth0fYULO7",6
"The #lockdown lottery: thousands of children are logging out of home #education.

But is hapless John Swinney, in thrall to defeatist unions, really the minister to guide us out of the crisis? #Covid-19 #coronavirus #SNP #schools 

Read more here: https://t.co/e2JYmhZHZR https://t.co/AP1PNHPrwP",6
"""The big lie that has been visited upon teachers and leaders during the last decade is that education alone can transform children’s lives"" - @MaryBoustedNEU https://t.co/KjcEih4Y94",6
LISTEN: Jacquie White of the Ulster Teacher's Union is one of the signatories to the letter which warns of the “very real risk of creating a spike in the transmission of the #coronavirus by a premature opening of schools”.  ⁦@goQradio⁩  https://t.co/4MwzxPt9UB,6
Coronavirus: The schools supplying PPE for the front line https://t.co/t2cNYNIqR5,6
'The human stuff matters': heads call for a kinder school system post Covid-19 | Schools | The Guardian thank you ⁦@schooltruth⁩ ⁦@alicewoolley1⁩ ⁦@guardian⁩  https://t.co/y2BrE9ExEN,6
Coronavirus: scientists caution against reopening schools https://t.co/E2nv97V8XX,6
"UCLan has launched an Online Psychological Support Hub for #frontlineworkers during #Coronavirus pandemic.  This new hub will support frontline #NHS workers, their families, care home workers and military support personnel during the crisis

https://t.co/9hWttIsKU2

(Please RT)",6
"The Prime Minister is expected to unveil the Government’s “roadmap” out of the coronavirus lockdown in an address to the nation next Sunday.

 https://t.co/BPLQJYFVAI",6
"In order to award this summer’s GCSEs &amp; A levels, schools &amp; teachers are being asked both to grade &amp; rank their students in each subject. @Tom_Middlehurst in @SecEd_Education looks at why the ranking may be more important than the grading itself: https://t.co/Z8sCJVMZ5g @ssat",6
"Important admission by head of Eton head Simon Henderson today that education inequality is rising and being accelerated by #coronavirus However, solution to poach more poor but bright and motivated kids from state schools is NOT the answer. @BBCr4today  @thetimes",6
"Yet more despicable behaviour from the Macron government, which is threatening to cut parents' benefits if they refuse to send their children to re-opened schools (which may be wise given the risk of spread to high-risk adults). https://t.co/Q54bfPB8lI",6
"⚫️ Social distancing in schools worry
⚫️ Warning against VE Day street parties
⚫️ More than 1,000 #coronavirus deaths in Wales
Follow our #Covid19 live page:

https://t.co/4pNrC9X9ek",6
"SAD IQ is the problem. 

UK schools opening: Sadiq Khan outlines ‘big problem’ in capital when lockdown ends https://t.co/mp6l34ecXL",6
New York governor announces schools to remain closed through academic year https://t.co/Y7ARMaF8yk,6
"Schools in Wales will not open till at least June in a ""phased opening"".
Priority will be given to certain groups including: 
- Children with special educational needs
- Year six children
- Children who learn in Welsh but don't have Welsh speakers at home

https://t.co/kisjrFdnJa",6
Plans to open schools in chaos as experts clash over whether children can pass on coronavirus  https://t.co/mqC7XPAhqD,6
Confirmation of what intuitively seems right - children may rarely get very sick with COVID but harbour plenty of virus and are likely to be one of the engines that will drive COVID19 R0 back up…  https://t.co/zKNfGSjd0V,6
"Primary schools 'will return on JUNE 1' as lockdown is lifted
 https://t.co/osEDxDccM1",6
"Primary schools in England could reopen on 1 June, reports suggest https://t.co/8hFr0T2XQa",6
Primary schools set to ‘reopen next month if coronavirus infection rate continues to slow’ https://t.co/NJisgs68GK,6
Our survey of parents on coronavirus and school closures was just mentioned on @BBCNews. We’ll be releasing statistics tomorrow. #parents #coronavirus #schoolclosures,6
"When will schools reopen and is it safe to send my child back to school? 📚🍎

Leave your education questions in the comments section of the article below and @camillahmturner will answer them at 1pm today 👇 https://t.co/2mrkrOJTGU",6
Social distancing in schools 'very difficult' admits government  deputy chief medical officer https://t.co/1WUQIXA2gn,6
"Boris Johnson is set to announce a ""comprehensive plan"" next week for how the UK will exit from lockdown, restart the economy and get kids back to schools.

https://t.co/VR3VE2jNPW",6
"Today @Parentkind ParentKind ( used to be NCPTA) supported our five tests and wrote jointly with us to Govt.

Thank you very much ParentKind

https://t.co/pT2WUbhbJK",5
"#Germany has postponed the decision on reopening schools - and Angela Merkel urges caution, while in #Denmark authorities have noted a spike in #Coronavirus reproduction rate since pupils returned to class
#Lockdown #Europe",5
"Should schools re-open? If all the children in the UK were exposed to Covid-19, then 800 children could die, an expert told Shelagh Fogarty.

@ShelaghFogarty | #schoolreopening 
https://t.co/cpE3htKFiS",5
"Plans being put in place so if referrals spike #CouncilsCan ensure children and families get the right help quickly, ⁦@cllrjudithblake⁩ tells ⁦@Independent⁩  https://t.co/IXFnvhlM2D",5
"🔴 In the slide below, Jonathan Van-Tam outlines the number of new cases of coronavirus in the UK from the 21st March

He said: ""New cases need to come down further. We have to continue to track this index and we have to get cases lower""

All the latest👇

https://t.co/BDOMlhPfkj https://t.co/NK5JXHxeQ0",5
"European schools getting ready to reopen, via @guardian. It will be interesting to see what we can learn from their experience: https://t.co/h4ZlFuv2GM",5
"What Voice would like to see before #schools and #nurseries reopen

The health, safety, and wellbeing of all those working in schools and nurseries must be paramount.  

https://t.co/T2hBPbqDQ7  #coronavirus #COVIDー19  #Covid19UK https://t.co/IL73Vmz9eR",5
European schools get ready to reopen despite concern about pupils spreading Covid-19 https://t.co/g2Bo8KAzcT,5
"Boris Johnson will reveal lockdown plan next week for economy, schools and travel
https://t.co/EJBuXhqYPD https://t.co/5CoU2krlPF",5
"What schools will look like when they reopen: Social distancing, testing &amp; isolating, scheduled days home, more online learning, lots of hand-washing. 

https://t.co/4Q3Ew8KEEB",5
Trump advises teachers over 60 to not teach in-person ‘for awhile’ as he implores schools to reopen https://t.co/CpSpaTtlSO,5
The teaching unions 5 point plan on order to open schools.  https://t.co/K8HvOpf6rf,5
"There are concerns it would lead to the transmission rate rising ""at such a level that we would risk a second spike"" https://t.co/AK7qVxsv07",5
Teachers could refuse to return to work if they think it is not safe warn unions as @borisjohnson expected to announce June 1 date for reopening primary schools to years 5 and 6 on Sunday @realgeoffbarton @cyclingkev https://t.co/cRLHQiOQdH,5
"""Labour’s focus over the weekend was on the reopening of schools, and today it is on demanding that face masks are stockpiled in case we are all advised to wear them in public soon."" If you missed @siennamarla's morning briefing, catch up here: https://t.co/M2VNyZNswR",5
"Read our latest newsletter https://t.co/NsNEnNL9hw, packed with lots of support resources and the latest news. @EducEndowFoundn @rs_network #schools #coronavirus #homeschooling #education",5
"Got a question about schools, nurseries or education in general?

Tomorrow night on Coronavirus: Scotland's Response, we'll be putting your questions to Deputy First Minister and Education Secretary @JohnSwinney. 

Comment your question below, or use our hashtag #ScotResponse 📩 https://t.co/WLrDafBIQR",5
The @StarAcademies coronavirus appeal aims to ease hardship amongst the vulnerable in our local communities. Our schools and central teams are working hard to provide essential items and comfort to those who are struggling during these difficult times. #StarAppeal #WeAreStar https://t.co/hvLFwtEdyA,5
Two-metre coronavirus social distancing rule could be scrapped to allow more schools and businesses to reopen https://t.co/ZKCThktSiI,5
PCS has launched a Save The British Council campaign to fight for the future of the organisation whose funding has been cut by 85% because of the closure of nearly all its schools due to coronavirus-related measures worldwide. https://t.co/uWwUI9aNhx #SaveBritishCouncil https://t.co/kQV2FOqjT3,5
"A helpful article highlighting another impact of #coronavirus -parents with reduced income may no longer qualify for the 30 hours of government funded childcare they previously benefited from, even 'once nurseries, playgroups, children’s centres, schools and clubs fully re-open': https://t.co/keh1COKXSu",5
"A @CEP_LSE study has found that teachers could need to work ""well over two additional hours per week"" to make up for lost learning once schools reopen
https://t.co/HFbR1kccRb",5
Stay Healthy #StayHomeSaveLives #COVID__19 #coronavirus #schools https://t.co/Y4Qt7HNSKD,5
"With clarity still absent around the opening of schools, we at the ASE will be running a series of online webinars during May to help the #SciEd community cope with these new challenges! 🔬⚗️ Find out more here: https://t.co/adHxSHOCUz #remoteteaching #PriSci https://t.co/LatMQvWREl",5
Coronavirus: NHS workers call for schools to stay closed | Tes #SheffActionCom ⁦@NEUSheffield⁩ @council_trades https://t.co/tCu2uqwTHJ,5
"Our survey for parents on school closures and coronavirus fears closes Monday. Results published next week and we'll share findings. #Parents must be considered in plans for re-opening #schools, @GavinWilliamson, @wgmin_education, @peterweirmla.  
https://t.co/A6rABVbbN8",5
"Shutting schools for months would be as ‘toxic’ as coronavirus, French PM warns https://t.co/rIBSwV3bwL",5
"Man Utd donate £300k to local schools in continued coronavirus battle
https://t.co/oBhRhRGyLq https://t.co/tipKjx16QA",5
"Arla will provide 40k bottles of Cravendale a week for 12 weeks to the Magic Breakfast schools partnership

https://t.co/c86UpOlL2i",5
"PM says he’ll lay out a “comprehensive plan” next week for getting economy moving, schools reopened and safe travel to work #coronavirus",5
"'The advice is that staff in non-residential education settings don't require PPE.'

Robert Jenrick says the government has published guidance on social distancing in schools, which will inform the plans on re-opening schools 

https://t.co/UvlK6uwHAz https://t.co/2YEEczlotB",5
"NEWS: Schools must be 'redesigned' to fully reopen on Island. 

The education minister says there's currently no timescale for schools reopening, which could be as late as next year.

#News #IoM #ManxRadio #Coronavirus https://t.co/3kOYblLXMJ",4
"This week Mr Hill wrote to our new Sept 2020 Year 7 parent/carers along with current parent/carers to give an update on developments in the school community over the past week.  Both letters can be found on the Covid-19 Information Page @_FAVSP

https://t.co/RayyjMjUEx",4
"⁦@FT⁩ #London #UK🇬🇧 #Germany postpones decision on reopening #schools
#Merkel urges caution and #Danish authorities note spike in virus reproduction rate since pupils returned to class #COVID19 #coronavirus #lockdown #secondwave #NHS  https://t.co/aAu1XBlwxS",4
"There is ""no doubt"" that opening schools would increase the spread of coronavirus, the @CMO_England said today
https://t.co/uyKxjuMbtk",4
"Read all about how to keep pupils safe online during lockdown. There's some great information available @SecEd_Education 
https://t.co/j66olD04KO https://t.co/mVtf6rbf6Q",4
"We still don't understand the impacts of Covid on kids.

How should we approach opening schools?

https://t.co/Azx8PBLqrg",4
"Some schools are also delivering lessons online. @NEUnion  advice states that ‘online lessons could be offered occasionally using technology with which teachers &amp; students are familiar, but schools must have a protocol that safeguards pupils and teachers.’ https://t.co/cWgBuw7QE9",4
No school attendance fines for parents after lockdown in Wales https://t.co/anMaU59ZT5,4
"Excellent article on school re-opening issues which @GavinWilliamson from the Government and @AngelaRayner from @UKLabour must consider with some urgency.

https://t.co/3ieUXdaU0H",4
"So the apparent demand for lifting lockdown is being driven primarily by the media and / or business lobby? 

Fearful Britons remain strongly opposed to lifting coronavirus lockdown https://t.co/eoIG9s5eyP",4
When might the lockdown in the UK come to an end? https://t.co/Sti75tJTYt,4
Schools in Wales could reopen in early June https://t.co/k1ZF0D5orD,4
"https://t.co/qPMDHvKng9
There should be no inspection of remote on-line learning during this crisis. Schools have moved mountains to get on-line learning up and running in a very short space of time. Give us credit, give us space and give us a break. Ofsted twiddle your thumbs.",4
Fearful Britons remain strongly opposed to lifting coronavirus lockdown https://t.co/0V3a2uAhyN,4
Should schools reopen? “there’s no scientific consensus on the infectiousness of children...” https://t.co/Lj8ixjeWoP,4
"There are concerns that despite measures, ""children still touch each other, cough, sneeze and inevitably pick their noses"" https://t.co/q9SJ9Rfe80",4
Scientists caution against reopening schools. Based on latest data from Christian Drosten's team showing equal viral load across age groups. https://t.co/fWKUHxtdEj,4
"Powys Teaching Health Board has published an open letter of thanks to teachers, schools, childcare staff and @PowysCC @powyssch colleagues for their work during Coronavirus 

https://t.co/cETiC4rZpM

#StayHomeSaveLives https://t.co/tqGBsBlAEw",4
Primary schools 'to open as soon as June' as part of Boris Johnson's coronavirus lockdown exit plan https://t.co/SVa0RwxuaO,4
"John McGowan, general secretary of the Social Workers Union, said the sector was not adequately funded to deal with the expected rise in referrals.

https://t.co/ycEIMkjhVE",4
"Know any students affected by the closure of schools? The Coronavirus Tutoring Initiative is offering *FREE* tutoring to students during the pandemic. Visit their website to find out more! 🔽 🔽 🔽

https://t.co/VSeD2O4ewR https://t.co/tOxiYUTT0z",4
"New @GPHotTopics Podcast!! 
💊😀Coronavirus Special: Do The Drugs Work?💊🤔
Remdesivir, antiplatelets, vit D, vaccines + grounds for optimism!
Plus schools and children, care homes, the homeless and LFT changes.
https://t.co/H3rYkm3X5q",4
How the UK’s lockdown compares to others around the world https://t.co/voLZBMZDVJ,4
"UK coronavirus live: Raab says it would not be safe to reopen all schools; official death toll rises to 29,427 https://t.co/M4PeFUbkJ2",4
"Local authorities brace for a surge in child protection referrals when schools re-open again https://t.co/vx5rftMbrx
Long term sustainable funding solutions are needed for Local Government @cipfa this is a worrying illustration of long term funding issues",4
"Last week, the Education Minister, Kirsty Williams, set out her five key principles which will determine how education will be phased in at schools in Wales.

Keep an eye on our FAQs for updated information.

https://t.co/vOfSfeF6j6 https://t.co/XPTu7Z796a",4
Schools may remain closed 'until September' over #coronavirus second wave fears https://t.co/DCzyQ88aVy https://t.co/Mgtpxqeh9k,4
"Schools in northern Italy were the first in Europe to close. Since then, teachers, parents and kids across the country have all had to adapt to a new existence – and the results have surprised everyone

https://t.co/jOMnUQ2Czz",4
Has everyone seen this new best practice guidance from DfE? Tips on how to do what you've been doing for the last few weeks. Someone thought it was useful. https://t.co/Gp1DrceQuP,4
"The learning loss over a four-week school closure is equivalent to ""moving a middle-ranking child down to the bottom 30 per cent of children"", a @CEP_LSE study says
https://t.co/HFbR1kccRb",4
Schools in Wuhan reopen for first time since coronavirus outbreak https://t.co/C4xhtOruff,4
"We're proud to be doing the right thing for colleagues, schools, people and communities during the #Covid19 pandemic🌈 Watch our short film for key facts and contacts 👇 

#Schools #Education #NotForProfit #Mutual #SchoolMeals #Coronavirus  #JoinOurMovement #Kids #OwnedBySchools https://t.co/VrF6PwPoFb",4
"""Boris Johnson death plan emerges with schools 'back in June'"".

Deleted Tweet from the Daily Mirror mashes up two items from the Mirror's ongoing ""Coronavirus LIVE updates"" page.  Unfortunate poor wording or bad taste mischievousness? https://t.co/4dOi4KXvHT",4
".@VoiceGenSec .@VoiceCymru .@VoiceScotland  What Voice would like to see before #schools and #nurseries reopen

The health, safety, and wellbeing of all those working in schools and nurseries must be paramount.  

https://t.co/kMWFhYxyHJ  #coronavirus #COVIDー19  #Covid19UK",4
"""Keep monitoring to a minimum.""

Priorities for schools and governors have changed at this time. 

@TheKeySL has written a helpful guide on what governing boards should be looking at and what's the best way to do it.

https://t.co/rEEk10YanH",4
"""It's a balance of risks - their health, but also for #MentalHealth and wellbeing.""

@MARCH_LSHTM's Director, @joylawn discusses the challenges of current #SchoolClosures with @ShelaghFogarty.

@LBC 👇 https://t.co/IMMF8u2iVf #COVID19",4
"'No need for teacher PPE,' say ministers, closing the gap, and a rebuttal of @Andrew_Adonis's criticism of schools. It's all here: Coronavirus and schools: LIVE 7/5 https://t.co/ugyADQ8YOa",4
"ASCL members: today's newsletter is on its way and includes another opportunity to have your say on re-opening schools/colleges, together with updates on government's temporary changes to statutory requirements and EHC assessments and plans  #education #coronavirus uk https://t.co/gWWYkGpuJp",4
'We would assert the importance of Government taking teachers with them as we continue our societal response to COVID-19' https://t.co/NX72UVX4C1,4
Coronavirus schools return: Can you really keep children 2m apart? - BBC News This is well worth a read. We need to ensure our schools have a clear plan not based on political expediency #Covid_19 #schools  https://t.co/l42sZxoDXr,4
"#Coronavirus: Education ministers warned by unions not to open schools prematurely - Jacquie White, @UTU_edu was the only Northern Ireland signatory in the letter, which warned of a risk transmission rates might spike if schools are opened prematurely https://t.co/EoFIZgHVfJ",4
Coronavirus: Lockdown exploits society’s digital divide as schools in London try to tackle internet poverty by providing students with donated devices https://t.co/SizeR0pLId https://t.co/cqpF78kk8Q,4
@JJ_Stellies https://t.co/XDOK98CvMV,4
"Does Closing Help Stop the Coronavirus? - The New York Times

Norway is planning to find out by opening schools in one district, with half the number of children with 6ft distancing, testing all children and teachers first.

Then, if successful - stage 2 https://t.co/ddmeVYebhi",4
"Coronavirus: scientists caution against reopening schools

https://t.co/KpQQTOSFlg",3
"#Iceland has almost eliminated the new #coronavirus.

It must have had one hell of a lockdown!

Well, no. Actually, schools remain open.

As ever, this excellent outcome is predominantly to do with *TESTING*.

https://t.co/21D77vUWsc",3
"Nicola Sturgeon says Scotland will decide its own timetable for schools reopening:
https://t.co/So7NfAVt18",3
"It's difficult for teachers and parents to explain the current pandemic to young children.

We've put together our tips on how to address the subject in a safe and supportive manner: https://t.co/IvAquG8lG5

#education #covid19 #teachers #parents",3
"Childcare providers fear they will be put out of business following the pandemic

https://t.co/mgTZWrDuoL",3
"Considering there is still so much uncertainty about when schools will reopen, we're continuing to look for ways to support science educators with out ever-growing Coronavirus Hub! Click here to find out more: https://t.co/io6MEm1My2 #PriSci #SciEd #ASEChat #remoteteaching https://t.co/KBIvSNGjrq",3
"There are concerns that despite measures, ""children still touch each other, cough, sneeze and inevitably pick their noses"" https://t.co/wFMib0yhKD",3
Primary schools 'to open as soon as June' as part of Boris Johnson's coronavirus lockdown exit plan https://t.co/fyUlmkDIM3,3
Primary schools 'to open as soon as June' as part of Boris Johnson's coronavirus lockdown exit plan https://t.co/eOUrsbEKXK,3
"Coronavirus Daily Debate 3⃣2⃣ 6 May 2020

90% of children globally are currently learning from home, lots using digital tools. 

When Coronavirus has passed, and schools reopen, do you think more learning should be done digitally? 🔽🔽

https://t.co/9cEF0iMztH https://t.co/Ax9OndRS74",3
"There are pages and pages of it. Anonymous case studies, mainly. You might find it reassuring to see that these schools are just doing what you are all doing - the best you can in the circumstances. https://t.co/FmrZlFAjPy",3
"#FiveTests I have a sister in law year 6 teacher with underlying health conditions, nephew in year 10 &amp; niece in year 8 they have health conditions too. Niece has recently come out of hospital after having Coronavirus. I support 5 tests. Don’t open the schools until it’s safe. RT https://t.co/CGCkJSjoiI",3
"@HSJEditor @BBCHughPym 19 March 2020 @BorisJohnson said 250,000 test per day - see https://t.co/M0XwlB4z0W",3
Ireland extends lockdown until May 18 and schools to reopen in September https://t.co/wsk9Wk8mVD https://t.co/pO2v7kjwEc,3
"There are concerns it would lead to the transmission rate rising ""at such a level that we would risk a second spike"" https://t.co/aCqQ0Un1TA",3
"Le taux d'infection des enfants et les risques de transmission aux adultes (aux enseignants notamment) portent atteinte aux espoirs de réouverture des écoles au Royaume-Uni selon une dernière étude #Covid19

https://t.co/QGInu83MVT",3
"While schools &amp; other buildings have been unoccupied during lockdown to prevent COVID-19, water left sitting in pipes could change in quality. Legionnaires disease is a respiratory disease caused when we breath in the water aerosols. Must read Link 👇🏻👇🏻

https://t.co/Ag8svjunzh",3
"In guide GL336, we cover all things COVID-19 including when we will publish guidance on schools re-opening.

https://t.co/6YdU8CykNV https://t.co/xlLBBDSuKI",3
"The article overstates the scope at the beginning, but the postponement of changes to business relief in Scotland is still significant. I consider the #charitable status of #independentschools in England in this forthcoming paper: https://t.co/hoqw8kcYLG.
https://t.co/y7qmBG7g7t",3
"UK heading for highest death toll in Europe. People still dying from this highly contagious killer disease. No return to schools until #FiveTests have been met. #fivetests
UK coronavirus death toll rises by 315 to 28,446 https://t.co/P0MRBX3cy1",3
"If schools reopened in the UK in June, would you send your child or wait until September? 

(Please RT poll and share your opinion with a comment if you like)

#COVID19 #coronavirusuk #coronavirus",3
Revealed: Boris Johnson's - #BorisTheButcher worst ever leader of the UK roadmap to ease lockdown and reopen schools and shops https://t.co/sARSZvz5rv,3
"@NEUnion has set #FiveTests that must be met before schools are reopened.
Primary schools in England could reopen on 1 June, reports say, BUT will schools be safe for our children and staff? @BorisJohnson @GavinWilliamson https://t.co/hnM4awFIz6",3
"The PM’s #COVID19 meeting today is a critical decision point. 
• The PM should close schools, and ban gatherings today. 
* Meetings should be cancelled, people should when possible work from home. 
Countries that act fast reduce death toll dramatically. 
Act Today. 
#Coronavirus",3
"#Coronavirus: Raab says it would not be safe to reopen all schools; official death toll rises to 29,427 https://t.co/5Ytm8GC3jp",3
"How to protect school staff wellbeing during coronavirus 

#SchoolClosures #LockdownUK #TeacherWellbeing 

https://t.co/eQn2N2agRQ @SecEd_Education https://t.co/5VidXxz5cH",3
"@EssexPR I’d focus on what countries are doing now, rather than a long way into the future. Take Switzerland for example who are reopening bars and restaurants on the 11th May rather than their originally planned 8th June: https://t.co/aFLJXZB7gZ",3
"We invite you to take a trip around our virtual gallery and appreciate the wonderful talent of our Art students during this school closure
https://t.co/2KOvNjJNDf

 #creativity #Covid_19 #STAYinghome #sligo #lockdown2020",3
"Plastic partitions, classes of no more than 15, desks 2 m from each other and temperature checks – see how other countries are opening up their schools https://t.co/ZtOjNxZ9HD via @BusinessInsider",3
Coronavirus Ireland: Country will start to slowly reopen on May 18 – but schools won’t return until September https://t.co/tJTozql5PR https://t.co/yfo6moCKMo,3
"Coronavirus: Firms need up to three weeks to exit lockdown, government warned https://t.co/tmU9EbuQFl
Schools need more",3
"New @EducEndowFoundn School closure support resources added today...
https://t.co/CZzM6zHjQk",3
"US schools should plan for phased reopening and more closures later, say experts https://t.co/lePQ6MV88Z",3
"Coronavirus: Guidance needed on social distancing, and 7 other demands from headteachers https://t.co/Gg9tkwvhVY @ASCL_UK",3
Updates as FM says when Welsh schools could reopen: #coronavirus #coronavirusuk https://t.co/3viC00qNdE,3
"NEW: Teacher trade unions warn reopening schools on June 1 risks second coronavirus wave

https://t.co/VOq4mU86Wk",3
"No date planned for schools to reopen, says Weir as he hints at phased return. Jacquie White @UTU_edu was the only N.I. signatory in the letter, which warned of a risk that transmission rates might spike if schools are opened prematurely.  https://t.co/86gS3XoNji",3
Trump advises teachers over 60 to not teach in-person ‘for awhile’ as he implores schools to reopen https://t.co/q2aoux3dVp,3
"Moins d'un citoyen britannique sur cinq pense que le moment est venu d'envisager de rouvrir des écoles, des restaurants, des pubs et des stades. #coronavirus  https://t.co/O1V52PjHgP",3
"Media speculation about #schools ‘reopening’ premature, unrealistic and causing anxiety

Once again, the #media have added to the anxiety of education and early years staff, parents and children... 

https://t.co/Y0OPOz6v8t  #coronavirus #COVID19",3
Matt Hancock announces more on the trial of a new coronavirus contact tracing app https://t.co/YQX5g6qXg2 https://t.co/5EnAw9rzuo,3
One consequence of the Covid-19 closures for many teachers has been a reduction or at least a side-lining of their CPD. @FionaAS urges schools &amp; teachers not to neglect their CPD and instead to take their professional learning online: https://t.co/kuRAFYQ3sL #schoolclosureuk,3
Thought provoking  blog in ⁦@TimesEducation⁩ about what schools will need to do most when they return #traumainformed #relationships #resilience Coronavirus and mental health: how to help children heal | Tes https://t.co/IymseOmEn0,3
"Our partners, @YoungMindsUK, offer lots of support and advice to help parents, carers, schools &amp; young people look after their #mentalhealth. This includes a free Parents Helpline and YoungMinds Crisis Messenger. Read our article for more information: https://t.co/4gCeFqX6Ng https://t.co/WnYVJlakIw",3
'The biggest change right now is that schools will reopen for children up to fifth grade in a bid to help parents return to work and restore some semblance of normality.'  https://t.co/rjPa79vSsR https://t.co/YRAQ8O1Uua,3
Our young people’s mental health is on the line during the #coronavirusuk lockdown. @PookyH discusses four things your pupils need to feel right now – and some simple ideas for making that happen: https://t.co/LpBPFyJK2W #schoolclosureuk,3
@Carter6D 's 5 questions for trustees and governors to consider now as a response to the #coronavirus pandemic in schools #northerngovernance2020 @SCHOOLSNE https://t.co/bdrTBmmHvM,3
Our young people’s mental health is on the line during the #coronavirusuk lockdown. @PookyH discusses four things your pupils need to feel right now – and some simple ideas for making that happen: https://t.co/slUEK1yHTo #schoolclosureuk #mentalhealth,3
"Coronavirus crisis: Primary schools could reopen from June 1 as lockdown exit begins

https://t.co/K1pxTCgla0 https://t.co/iW2wCyerSq",3
Local authorities brace for a surge in child protection referrals when schools re-open again https://t.co/UpaNXi4RZM,3
"PM Boris Johnson said he will set out a ""comprehensive plan"" next week on how to restart the economy, reopen schools and help people travel to work beyond the coronavirus lockdown.
https://t.co/DAYBq4Vr8p",3
"Coronavirus crisis no excuse for price-fixing, private schools warned https://t.co/cbS8ZwI3wc",3
The @NSPCC has a range of fantastic resources to support schools during this challenging time and we're delighted to have partnered with @NSPCCLearning to create a safeguarding resource for school governors and trustees. Take a look https://t.co/X53RxMsFtB,3
"Paper released yesterday by the Scottish Government deems if too risky to re-open even just their nursery and primary schools yet:

https://t.co/aIokNqh2kN https://t.co/IdgBdhYacb",3
"There's a day of action today to say, 'no return to unsafe workplaces'. Socially-distanced actions could include cavalcades to hospitals and protests against possible moves to reopen primary schools #ExtendTheLockdown #ReturningToWork #coronavirus #COVID19 https://t.co/yYWR9q5kPv https://t.co/aIySFwfSu6",3
